tradeItemId,tradeItemName
63b305f1-f7aa-40b1-b9aa-2044c1928000,Rosa spray Rosanella 50cm
6fa4aa72-fd44-4cda-a18a-a2e526ace780,Alstroemeria Lucia 70cm
b052ae02-e903-4c1b-a187-056b7ea32cec,Rosa large flowered Imani 70cm
9070cc29-1803-4009-b8f4-9cde9e7f377e,Sonora
ec1e7bfa-21e8-4004-821c-6028a57389a0,Wedding Party 60
6931f5ac-7340-4646-b1f4-fe5f8c29307a,Rosa large flowered Charlize 50cm
2b6cc9ec-17f9-4238-9c4c-d21d7f3caa81,Rosa spray Leila 70cm
94de0a6d-a4d6-4d43-8278-3928e8971a7c,Rosa Upper Class 50cm
7cef9853-1814-491d-8eb8-fc43af12dc00,Mirabel 60
dd32aa16-1746-401c-9128-d60c0bfb206b,Ariya
304aadaa-010a-472d-94c3-9349208a0a34,Alstroemeria Beluga 60cm
d851a070-b0ec-4b1c-ab62-55a4a03607e1,Snow Bubble 50
318ab6a3-d607-429f-b622-3c666bc83ed1,Lepidium Green Dragon L40
32590c1b-06c1-408a-9b35-ea1ddf8e7df9,Bellalinda Cerise 80cm
d555d209-2001-4ffa-a3c8-a6b58197f96d,Bellalinda Cerise 90cm
36b9f93d-f639-4234-8f3b-5418d54bb40b,Good Mood 50cm
ad551f33-4f1e-4d9c-80a4-02c4599e0872,Rosa large flowered Wendy Kristy 50cm
afc323e3-fed8-4727-bb4b-1a6afa92a085,Madam Bombastic 60
25c0461e-0b00-400e-b669-ac0f94a2e800,Rosa Madam Red 50cm
4c0da33e-a01f-4d4e-9783-e6de76c52a16,Rosa High & Magic 50cm
5db705ed-a1cf-458a-9747-47f6534d154b,Rosa large flowered Explorer 70cm
85028148-3ab7-4097-93ae-ba73cb342f0b,Spray Rose Mix box 70cm
5b2bbfb8-5c55-4311-ba5d-c66c379cd671,Rosa large flowered Thriller 70cm
32487739-9f3f-4f67-83e6-acd7f1af2d7f,Rosa large flowered NovaVita 70cm
522efa2c-3e09-4455-9717-c33cab4f3acc,Rosa large flowered Imani 60cm
30cf3069-5723-447f-af86-c1af17219a07,Snow Bubble 60
a722b077-baa0-49a1-b160-f34554322f70,Rosa Large Flowered Candidate 60cm
162374f2-4e6c-4fde-82f4-8b19efa6c79e,Rosa large flowered Pink Rhodos 70cm
